gene,chr,snp,clr,start,end,ncd05,ncd04,ncd03,facet,immune,qw_queen,qw_worker,mq_queen,mq_male,mw_male,mw_worker,male_biased_tissues,nonmale_biased_tissues,male_bias_index,worker_biased_tissues,nonworker_biased_tissues,worker_bias_index,queen_biased_tissues,nonqueen_biased_tissues,queen_bias_index,density,candens,hymenop
LOC105194143,CM031913.1,2745703,12.0919725689986,2743017,2748017,0.45291602328184,0.355328840474157,0.259584756100935,CM031913.1,0,1,1,0,5,2,0,7,0,7,1,3,-2,1,6,-5,0.0040845184274297,1,1
LOC105202403,CM031907.1,7819417,14.9064069560515,7815628,7820628,0.455071238532653,0.358805737328213,0.265317323481982,CM031907.1,0,7,0,0,8,10,0,18,0,18,0,17,-17,7,8,-1,0.00414675631141782,1,1
LOC105202086,CM031901.1,8724994,15.688159541449,8720906,8725906,0.455873337943605,0.361066145252978,0.270031520841262,CM031901.1,0,2,7,2,5,4,3,9,5,4,10,6,4,4,12,-8,0.00416558626484481,1,1
LOC105200050,CM031907.1,8673988,10.6902573676951,8670628,8675628,0.453360257453389,0.355258062594226,0.258613725541014,CM031907.1,0,2,1,1,1,1,1,2,2,0,2,3,-1,3,2,1,0.00428893876295676,1,1
LOC105193022,CM031914.1,1806647,15.8736991654531,1802091,1807091,0.45717478005828,0.361298148793122,0.268447248302784,CM031914.1,0,1,2,0,3,3,0,6,0,6,2,4,-2,1,5,-4,0.00435139804277529,1,1
LOC105206010,CM031914.1,5064597,9.33863340370976,5062091,5067091,0.453330209394875,0.354819506345599,0.257459677263582,CM031914.1,0,1,2,1,3,2,6,5,7,-2,8,3,5,2,5,-3,0.00435626863941801,1,1
LOC105195900,CM031901.1,25112519,12.5399726592551,25108406,25113406,0.455035566064965,0.359490903657706,0.267226595310433,CM031901.1,0,1,8,1,6,2,5,8,6,2,13,3,10,2,14,-12,0.00437980901517453,1,1
LOC105199406,CM031903.1,3720925,21.6915753877627,3717632,3722632,0.46450829133777,0.369107207626097,0.276969869699819,CM031903.1,0,2,4,3,5,2,1,7,4,3,5,4,1,5,9,-4,0.00440907748611985,1,1
LOC105202404,CM031907.1,7820454,10.5459363489092,7815628,7820628,0.455071238532653,0.358805737328213,0.265317323481982,CM031907.1,0,2,5,1,8,4,2,12,3,9,7,6,1,3,13,-10,0.00452679222078708,1,1
LOC105200962,CM031913.1,9679566,4.48382809032023,9675517,9680517,0.454289965316709,0.354878835079603,0.255926947755519,CM031913.1,0,0,5,6,0,0,8,0,14,-14,13,0,13,6,5,1,0.00457904333119361,1,1
LOC105200182,CM031914.1,488628,18.4251146262693,484591,489591,0.461744539741938,0.362807809519256,0.264671481869179,CM031914.1,0,7,0,2,2,7,1,9,3,6,1,14,-13,9,2,7,0.00465414646055974,1,1
LOC105196972,CM031908.1,16978152,14.9821936853245,16973507,16978507,0.458588923574869,0.362385892451375,0.268967041233683,CM031908.1,0,9,0,0,14,13,0,27,0,27,0,22,-22,9,14,-5,0.0046686300515495,1,1
LOC105195806,CM031904.1,22901206,25.2448930404237,22896678,22901678,0.480653724390254,0.380879179954225,0.28126481592084,CM031904.1,0,2,0,1,3,3,0,6,1,5,0,5,-5,3,3,0,0.00468299870406748,1,1
LOC105201493,CM031904.1,8620395,4.93523295208922,8616678,8621678,0.454774199855478,0.356482609001978,0.259499765293773,CM031904.1,1,3,2,3,0,1,1,1,4,-3,3,4,-1,6,2,4,0.00470122439871416,1,1
LOC105199366,CM031912.1,9756239,15.8540730490189,9751354,9756354,0.459589676919905,0.360819618273927,0.262980840996721,CM031912.1,0,1,1,2,2,3,0,5,2,3,1,4,-3,3,3,0,0.00475646666361251,1,1
LOC105206021,CM031914.1,5041838,15.6716330922254,5037091,5042091,0.460143131441457,0.361059586789701,0.262671561103881,CM031914.1,0,2,2,4,0,1,6,1,10,-9,8,3,5,6,2,4,0.0047769154083812,1,1
LOC105204473,CM031908.1,3815691,12.7449779229294,3811007,3816007,0.457897539195222,0.360739301436702,0.265698194952543,CM031908.1,0,1,4,3,1,1,5,2,8,-6,9,2,7,4,5,-1,0.00479426882424205,1,1
