gene,chr,snp,clr,start,end,ncd05,ncd04,ncd03,facet,immune,qw_queen,qw_worker,mq_queen,mq_male,mw_male,mw_worker,male_biased_tissues,nonmale_biased_tissues,male_bias_index,worker_biased_tissues,nonworker_biased_tissues,worker_bias_index,queen_biased_tissues,nonqueen_biased_tissues,queen_bias_index,sig,density,candens
LOC105205121,CM031902.1,12168914,34.7049059507412,12165806,12170806,0.442113230855719,0.345980788336119,0.252866175867161,CM031902.1,0,6,1,8,1,1,4,2,12,-10,5,7,-2,14,2,12,1,0.000931480613333074,2
LOC105194898,CM031904.1,5883744,43.8640393975702,5879178,5884178,0.469528959703005,0.369791868853354,0.270249160110307,CM031904.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.00100243270127652,2
LOC105205250,CM031906.1,23562971,30.3013891357808,23560130,23565130,0.439375667062641,0.342601691456068,0.248396580432132,CM031906.1,0,3,1,0,3,3,1,6,1,5,2,6,-4,3,4,-1,1,0.00109936200862922,2
LOC105201365,CM031913.1,5638897,40.7164724559245,5635517,5640517,0.463157957291326,0.364042527555422,0.265591096115075,CM031913.1,0,0,13,7,0,0,14,0,21,-21,27,0,27,7,13,-6,1,0.00120066683433924,2
LOC105196578,CM031909.1,12089044,18.0035914290247,12085150,12090150,0.430553287056647,0.336430392496402,0.246971020557642,CM031909.1,0,3,1,1,3,0,2,3,3,0,3,3,0,4,4,0,1,0.00121939153146474,2
LOC105196912,CM031903.1,16430744,8.00465016762519,16427632,16432632,0.427606265936736,0.329723568061225,0.233641058039233,CM031903.1,0,1,0,0,3,4,0,7,0,7,0,5,-5,1,3,-2,0,0.00122563052312854,2
LOC105203366,CM031911.1,12337220,15.4640079526842,12333786,12338786,0.431080795574146,0.342912396703354,0.26333851088065,CM031911.1,0,0,5,3,0,0,8,0,11,-11,13,0,13,3,5,-2,1,0.00136299341005762,2
LOC105201813,CM031901.1,1296022,35.0284878593568,1293406,1298406,0.451874275478804,0.352560996042391,0.253787610062651,CM031901.1,0,2,2,0,7,4,0,11,0,11,2,6,-4,2,9,-7,1,0.00137398246148044,2
LOC120358644,CM031909.1,9114111,37.0770292000739,9110150,9115150,0.458081405824389,0.358801901744378,0.260075056529294,CM031909.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.00142884022928491,2
LOC105204753,CM031903.1,7852427,7.10960838799983,7847632,7852632,0.430786627474235,0.332082923997343,0.234480315614392,CM031903.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00147108035171236,2
